,tweet,verified,created_at,location,favourites,retweets
0,สงครามโลกครั้งที่ 3 สงครามระดับประเทศมันต้องแบบนี้  #popcat https://t.co/KkZSh591XR,False,2021-08-15 13:53:05,,0,0
1,#popcat https://t.co/NIFIz3r3wf,False,2021-08-15 13:53:05,,3,2
2,คือเข้าไปส่องแบบอห32B จะไปถึงไหนก่อน5555555 #popcat,False,2021-08-15 13:53:06,,0,0
3,"ชื่อคลิปก็คือ5555555555 #popcat 
https://t.co/L5JVnT5a04",False,2021-08-15 13:53:08,,0,0
4,แล้วเด็กที่ออกจากระบบการศึกษาจะเป็นอย่างไร บางครอบครัวอาจเห็นว่าเด็กมาเรียนออนไลน์แบบนี้มีแต่ค่าใช้จ่ายอย่างเดียว… https://t.co/nkf3AtlBF1,False,2021-08-15 13:53:09,,0,0
5,ชอบเวลามีโมเม้นระหว่างประเทศนะ มันดูน่ารักดี อย่างน้อยก็มีเรื่องให้ยิ้มได้ในวันแย่ๆแบบนี้ #popcat,False,2021-08-15 13:53:10,,6,0
6,ผู้นำไทยเขานัมเบอร์วันนะคะในสงครามโลกยังไม่มีประเทศไหนเขาทำ #ม็อบ15สิงหาคม #WhatsHappeningInThailand #popcat #popdog https://t.co/bGeoSXYn26,False,2021-08-15 13:53:11,,0,3
7,#popcat #WhatsHappeningInThailand https://t.co/nZVJBDcqso,False,2021-08-15 13:53:12,,0,4
8,"ลั่น โคตรจี้เลย 5555 
#popcat https://t.co/chmqpeEbVw",False,2021-08-15 13:53:14,,3,6
9,อยากเล่นเรื่อยๆเลยอ่ะ5555 เกมอะไรเนี่ยย ปังไม่ไหวจ้าา #popcat https://t.co/fBkVDl7Gfx,False,2021-08-15 13:53:30,"กรุงเทพมหานคร, ประเทศไทย",1,0
10,มึง5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555 กูยอมแล้ว มาเอานายกกูไป… https://t.co/kl4g2fF4Ve,False,2021-08-15 13:53:37,,17,22
11,เพลงดีค่ะ #popcat https://t.co/RDP9IwYHE9,False,2021-08-15 13:53:42,ในใจเทรเชอร์เสมอ,2,2
12,พักก่อนนิ้วล็อค #popcat https://t.co/n77zsT3Myi,False,2021-08-15 13:53:44,지성박 맘이 ♡︎☽︎,0,0
14,"รางวัลผู้พิชิต #popcat
#ม็อบ15สิงหาคม https://t.co/hVhUEwIsdw",False,2021-08-15 13:53:47,,2,0
